time,open,high,low,close,volume
2020-01-02,28.78,29.13,28.63,28.93,896720
2020-01-03,29.08,29.18,28.34,28.43,2047880
2020-01-06,28.19,28.43,28.04,28.14,1091660
2020-01-07,28.29,28.68,28.14,28.68,837240
2020-01-08,28.39,28.48,28.04,28.04,1814290
2020-01-09,28.29,28.48,28.19,28.43,967050
2020-01-10,28.39,28.53,28.19,28.39,1018650
2020-01-13,28.34,28.43,28.14,28.19,786760
2020-01-14,28.19,28.34,28.14,28.14,721680
2020-01-15,28.14,28.19,28.04,28.14,940870
2020-01-16,28.14,28.73,28.14,28.63,1942970
2020-01-17,28.63,28.68,28.14,28.43,1388810
2020-01-20,28.39,28.63,28.24,28.34,1227100
2020-01-21,28.53,28.63,27.4,27.4,4351820
2020-01-22,27.15,27.89,27.0,27.89,3165650
2020-01-30,27.3,27.55,26.61,27.0,2638460
2020-01-31,26.66,27.1,25.67,25.67,4118150
2020-02-03,24.49,25.92,24.19,25.42,3602970
2020-02-04,25.87,25.87,25.18,25.57,1651440
2020-02-05,25.82,26.07,25.67,25.67,1648620
2020-02-06,25.92,26.46,25.57,26.46,1708550
2020-02-07,26.16,26.41,26.07,26.31,1218660
2020-02-10,25.87,26.16,25.72,25.97,738090
2020-02-11,26.11,26.51,26.02,26.46,1085380
2020-02-12,26.56,27.0,26.51,26.71,1104870
2020-02-13,26.71,26.9,26.51,26.81,1030570
2020-02-14,26.71,26.9,26.66,26.9,884240
2020-02-17,26.95,26.95,26.66,26.76,726390
2020-02-18,26.86,27.65,26.81,27.65,1760940
2020-02-19,27.6,27.74,27.4,27.5,681250
2020-02-20,27.69,27.84,27.4,27.55,780810
2020-02-21,27.6,27.6,27.0,27.0,1458040
2020-02-24,26.21,26.61,25.92,25.92,2261990
2020-02-25,25.72,26.66,25.67,26.66,1407720
2020-02-26,26.36,27.25,26.16,27.15,3221270
2020-02-27,27.15,27.89,26.95,27.65,2927040
2020-02-28,27.15,27.5,26.95,27.2,2132200
2020-03-02,27.2,27.74,27.05,27.5,1787060
2020-03-03,27.74,28.14,27.5,27.6,1193800
2020-03-04,27.4,27.4,27.1,27.4,1660790
2020-03-05,27.4,27.6,26.95,26.95,1296450
2020-03-06,26.76,26.81,26.41,26.66,1305030
2020-03-09,25.28,25.67,24.83,24.83,4735140
2020-03-10,25.18,25.67,24.83,25.52,2030340
2020-03-11,25.67,25.92,24.44,25.08,2753310
2020-03-12,23.99,24.34,23.35,23.75,3981670
2020-03-13,22.36,24.68,22.31,23.77,2919140
2020-03-16,23.77,24.54,23.45,23.5,1898960
2020-03-17,23.2,23.94,22.96,23.94,2474650
2020-03-18,24.19,24.24,23.87,23.89,1642800
2020-03-19,23.5,23.75,23.5,23.55,1296590
2020-03-20,23.79,23.82,23.37,23.55,1291360
2020-03-23,22.76,23.15,21.92,21.92,2826690
2020-03-24,22.21,22.21,21.47,21.97,2191500
2020-03-25,22.71,22.91,22.29,22.71,2131790
2020-03-26,22.46,22.63,21.82,21.82,2358310
2020-03-27,21.92,21.92,21.18,21.28,2633750
2020-03-30,19.99,20.29,19.8,19.94,2157690
2020-03-31,20.54,20.93,19.8,20.29,1663050
2020-04-01,20.14,21.33,20.14,20.88,1453030
2020-04-03,21.23,22.04,21.08,22.02,2072000
2020-04-06,22.71,23.45,22.46,23.45,2718990
2020-04-07,23.45,23.55,22.96,23.35,2463810
2020-04-08,22.76,23.23,22.59,23.13,1576670
2020-04-09,23.2,23.5,22.96,23.13,2142370
2020-04-10,23.0,23.2,22.66,22.91,1882020
2020-04-13,22.91,23.2,22.76,22.96,1255360
2020-04-14,23.5,24.44,23.2,24.44,4072050
2020-04-15,24.93,25.08,24.61,24.73,2205200
2020-04-16,24.54,25.08,24.34,24.83,1508480
2020-04-17,25.28,25.32,24.78,25.28,2631630
2020-04-20,25.62,25.67,25.03,25.32,2239780
2020-04-21,24.93,25.13,24.14,24.34,3737050
2020-04-22,24.09,25.28,24.04,25.23,2445860
2020-04-23,25.72,25.77,25.18,25.18,1363410
2020-04-24,25.13,25.28,24.73,25.18,1411380
2020-04-27,25.42,25.42,24.93,25.03,1419750
2020-04-28,25.03,25.08,24.78,25.03,974310
2020-04-29,25.08,25.37,24.93,25.08,1349230
2020-05-04,24.78,25.13,24.58,24.93,895530
2020-05-05,25.08,25.18,24.88,25.13,677990
2020-05-06,25.18,26.21,25.18,26.11,3470150
2020-05-07,26.16,26.41,25.87,26.41,2030720
2020-05-08,26.46,27.2,26.46,26.51,3585320
2020-05-11,26.66,26.86,26.31,26.66,2119430
2020-05-12,26.66,26.86,26.46,26.86,2828190
2020-05-13,27.47,28.66,27.41,28.54,6853810
2020-05-14,28.31,28.4,28.05,28.16,2597400
2020-05-15,27.93,28.28,27.62,27.76,2430890
2020-05-18,27.47,27.96,27.41,27.96,2000950
2020-05-19,28.45,28.74,28.11,28.48,2879030
2020-05-20,28.34,28.34,28.08,28.28,1245380
2020-05-21,28.28,28.51,28.25,28.51,2007060
2020-05-22,28.34,28.34,28.02,28.02,1731720
2020-05-25,28.02,28.11,27.64,28.02,2033000
2020-05-26,28.05,28.22,27.96,28.22,1615680
2020-05-27,28.28,28.57,27.76,27.76,2098580
2020-05-28,27.88,28.11,27.76,27.76,1194380
2020-05-29,27.76,27.82,27.47,27.73,1346170
2020-06-01,27.76,27.96,27.76,27.93,1298150
2020-06-02,27.93,28.05,27.76,27.76,1456730
2020-06-03,27.76,28.31,27.7,28.14,1893060
2020-06-04,28.28,28.28,27.99,27.99,1260060
2020-06-05,27.99,28.16,27.85,28.16,1236200
2020-06-08,28.34,28.92,28.34,28.54,4113250
2020-06-09,28.69,28.71,28.28,28.31,1491540
2020-06-10,28.34,28.34,27.99,28.22,1307540
2020-06-11,28.22,28.22,26.6,26.6,4278060
2020-06-12,26.02,27.18,26.02,27.18,3145450
2020-06-15,27.76,27.76,26.55,26.6,1207500
2020-06-16,26.95,27.07,26.78,26.95,1100730
2020-06-17,27.01,27.04,26.75,26.81,788630
2020-06-18,26.78,27.01,26.69,26.95,822980
2020-06-19,26.95,27.18,26.95,27.18,745470
2020-06-22,27.18,27.18,27.09,27.18,787180
2020-06-23,27.15,27.99,27.04,27.5,1693730
2020-06-24,27.7,27.73,27.21,27.3,607000
2020-06-25,26.98,27.24,26.95,27.07,730810
2020-06-26,27.07,27.27,27.01,27.09,602880
2020-06-29,26.95,26.95,26.52,26.63,1281220
2020-06-30,26.69,26.83,26.26,26.4,1594210
2020-07-01,26.6,26.78,26.49,26.72,866660
2020-07-02,26.78,26.78,26.57,26.69,539160
2020-07-03,26.89,26.89,26.66,26.75,529760
2020-07-06,26.89,27.15,26.78,27.07,1089910
2020-07-07,27.18,27.7,27.18,27.44,2739150
2020-07-08,27.35,27.7,27.35,27.59,1472610
2020-07-09,27.7,27.99,27.64,27.96,2298900
2020-07-10,27.82,27.9,27.47,27.64,1164310
2020-07-13,27.76,28.31,27.62,28.14,2662490
2020-07-14,27.93,28.25,27.93,28.08,1549540
2020-07-15,28.19,28.31,27.99,28.11,1516540
2020-07-16,28.08,28.19,27.99,28.11,1060530
2020-07-17,28.05,28.05,27.82,27.82,1313100
2020-07-20,27.82,27.88,27.38,27.41,2049680
2020-07-21,27.47,27.73,27.33,27.64,940230
2020-07-22,27.76,27.76,27.35,27.41,817890
2020-07-23,27.41,27.62,27.24,27.62,918630
2020-07-24,27.41,27.5,26.26,26.55,3170540
2020-07-27,26.02,26.55,25.22,25.27,3274350
2020-07-28,25.68,26.49,25.53,26.43,1953510
2020-07-29,25.68,25.97,25.33,25.76,1554200
2020-07-30,25.79,26.11,25.79,26.11,612240
2020-07-31,25.45,26.14,25.45,25.74,1106250
2020-08-03,25.79,26.55,25.74,26.55,1392200
2020-08-04,26.89,27.07,26.72,26.92,1051310
2020-08-05,26.89,27.27,26.75,27.18,1328520
2020-08-06,27.18,27.33,27.01,27.07,1153660
2020-08-07,27.07,27.64,27.07,27.24,1283690
2020-08-10,27.38,27.64,27.24,27.3,1160370
2020-08-11,27.44,27.44,27.18,27.18,1209690
2020-08-12,27.24,27.47,27.12,27.47,1233230
2020-08-13,27.73,27.73,27.47,27.73,1709100
2020-08-14,27.82,27.88,27.44,27.64,1633770
2020-08-17,27.7,27.76,27.47,27.76,1048820
2020-08-18,27.76,27.85,27.64,27.67,625200
2020-08-19,27.7,27.79,27.55,27.67,877190
2020-08-20,27.7,28.03,27.67,27.79,1824430
2020-08-21,27.91,28.06,27.88,28.0,1260210
2020-08-24,28.32,28.71,28.26,28.62,3540210
2020-08-25,28.71,28.91,28.68,28.85,3304670
2020-08-26,28.82,28.85,28.47,28.59,1328990
2020-08-27,28.5,29.59,28.5,29.45,3724990
