time,open,high,low,close,volume
2020-01-02,58.65,59.43,58.32,59.04,386290
2020-01-03,59.49,59.69,58.45,58.45,536130
2020-01-06,58.0,58.19,56.89,56.89,880110
2020-01-07,56.57,57.15,55.53,57.09,1013270
2020-01-08,56.5,57.15,56.05,56.57,722280
2020-01-09,57.02,57.8,57.02,57.67,722670
2020-01-10,57.67,58.78,57.15,58.19,1526920
2020-01-13,57.87,58.39,57.87,58.13,1044640
2020-01-14,58.19,58.52,57.93,58.13,1001130
2020-01-15,58.26,58.26,57.74,58.06,1471860
2020-01-16,58.06,58.71,57.8,58.19,1171580
2020-01-17,58.19,61.44,58.19,61.44,2219790
2020-01-20,61.44,61.64,60.79,61.12,832190
2020-01-21,61.05,61.51,60.86,61.12,749590
2020-01-22,61.12,61.77,60.53,60.73,877710
2020-01-30,59.88,60.08,56.57,57.8,3541560
2020-01-31,57.22,58.39,57.02,57.67,1270160
2020-02-03,54.68,58.65,53.97,57.67,1457070
2020-02-04,57.87,58.39,57.02,58.39,1118410
2020-02-05,58.65,58.78,57.74,57.8,731310
2020-02-06,57.87,59.1,57.74,58.13,889570
2020-02-07,58.39,59.04,57.87,58.52,1170540
2020-02-10,58.0,58.19,57.54,57.8,607060
2020-02-11,57.87,58.19,57.8,58.0,520210
2020-02-12,58.39,58.39,57.93,58.13,609750
2020-02-13,58.0,58.19,57.74,58.06,633270
2020-02-14,57.87,58.39,57.87,58.06,432800
2020-02-17,58.06,58.45,57.93,58.13,343900
2020-02-18,58.26,58.26,57.87,58.13,432880
2020-02-19,57.87,58.19,57.87,58.19,208280
2020-02-20,58.32,58.78,58.0,58.19,541120
2020-02-21,58.19,58.19,57.87,57.87,898350
2020-02-24,55.92,57.22,55.92,56.7,995910
2020-02-25,55.92,56.57,55.79,56.05,1229530
2020-02-26,55.92,55.92,54.62,55.27,1163030
2020-02-27,54.62,55.01,53.9,54.62,1227980
2020-02-28,52.08,54.23,52.08,53.58,1710080
2020-03-02,52.99,53.45,52.86,53.19,668980
2020-03-03,54.29,54.29,53.45,53.45,848270
2020-03-04,53.32,53.32,52.67,53.12,581530
2020-03-05,53.45,54.36,53.45,54.03,833710
2020-03-06,53.97,55.72,53.32,54.94,884750
2020-03-09,51.37,52.6,51.11,51.11,1209500
2020-03-10,50.72,51.95,49.03,51.95,1433230
2020-03-11,52.28,52.28,48.38,50.07,1806190
2020-03-12,46.81,47.46,46.62,46.62,1582400
2020-03-13,43.37,47.46,43.37,46.16,1859750
2020-03-16,46.16,46.16,43.24,43.63,1022550
2020-03-17,41.35,43.89,41.35,43.89,1364590
2020-03-18,44.21,45.97,44.21,45.06,1099800
2020-03-19,43.76,44.67,42.91,42.91,1191150
2020-03-20,42.91,43.11,39.99,39.99,2763360
2020-03-23,37.45,38.04,37.19,37.19,1875070
2020-03-24,37.19,37.97,36.8,37.71,1498070
2020-03-25,39.01,40.31,38.82,40.31,1835730
2020-03-26,40.31,42.07,39.99,41.09,1484590
2020-03-27,41.55,42.85,40.64,41.68,1569620
2020-03-30,39.08,39.92,38.88,39.66,1637330
2020-03-31,40.05,41.68,39.01,40.31,957500
2020-04-01,40.05,42.85,39.99,42.26,1229320
2020-04-03,42.26,43.11,41.61,42.59,1726690
2020-04-06,43.89,44.41,42.91,44.21,2111200
2020-04-07,44.21,44.86,43.43,44.34,1773570
2020-04-08,43.56,44.34,43.43,43.89,1778380
2020-04-09,44.21,46.81,44.21,46.16,1795170
2020-04-10,46.16,46.75,45.25,45.9,1599380
2020-04-13,45.9,46.68,45.51,46.03,1046830
2020-04-14,45.84,46.03,44.08,45.45,1944570
2020-04-15,45.32,46.36,45.32,46.1,1017740
2020-04-16,45.51,46.29,45.38,46.29,1057050
2020-04-17,46.49,46.68,46.1,46.42,1473140
2020-04-20,46.62,47.07,46.03,46.75,1026030
2020-04-21,46.16,46.49,44.08,46.49,2159110
2020-04-22,44.86,46.23,44.86,45.06,1612290
2020-04-23,46.16,46.16,44.73,44.99,1201610
2020-04-24,44.99,45.25,43.89,44.8,972170
2020-04-27,45.45,45.45,43.43,43.43,2547060
2020-04-28,43.43,44.54,42.39,43.56,2052860
2020-04-29,43.56,44.28,43.56,44.21,1523750
2020-05-04,44.21,44.28,43.43,43.82,852260
2020-05-05,43.76,44.02,43.43,43.43,1007640
2020-05-06,43.76,44.02,43.24,43.95,855770
2020-05-07,44.08,45.32,44.02,45.32,1936540
2020-05-08,45.51,48.25,45.38,47.79,3865590
2020-05-11,47.79,48.44,47.14,48.44,1696160
2020-05-12,48.51,49.42,48.38,49.16,2199500
2020-05-13,49.16,49.74,46.81,49.16,1851970
2020-05-14,48.77,49.68,48.7,49.42,2121750
2020-05-15,49.68,49.74,49.16,49.42,1596240
2020-05-18,49.61,51.37,49.29,51.04,1002690
2020-05-19,51.95,52.08,51.24,51.37,1129270
2020-05-20,50.98,51.82,50.98,51.76,710200
2020-05-21,52.02,52.8,51.76,52.8,1425500
2020-05-22,52.8,52.86,52.02,52.67,805710
