time,open,high,low,close,volume
2020-01-02,80.72,81.55,80.38,81.34,352700
2020-01-03,81.55,82.1,81.55,81.62,625390
2020-01-06,81.55,81.55,80.59,81.0,495910
2020-01-07,81.07,81.97,81.07,81.76,459520
2020-01-08,81.76,81.97,81.07,81.97,837710
2020-01-09,82.1,82.45,81.69,81.83,624130
2020-01-10,81.83,82.24,81.69,82.03,596280
2020-01-13,82.1,82.1,81.0,81.0,412880
2020-01-14,81.0,81.48,80.79,81.28,335180
2020-01-15,81.28,81.34,80.86,81.28,681740
2020-01-16,81.28,81.76,80.86,81.55,545090
2020-01-17,81.55,81.83,81.28,81.83,375030
2020-01-20,82.1,82.24,81.69,82.1,493600
2020-01-21,82.1,84.1,81.83,83.48,853940
2020-01-22,84.1,84.1,83.48,83.69,794440
2020-01-30,82.1,82.66,80.17,80.45,1533720
2020-01-31,80.31,80.45,74.86,74.86,1915820
2020-02-03,70.03,76.24,69.68,74.72,2289150
2020-02-04,75.83,75.89,71.82,72.44,1869040
2020-02-05,73.41,74.31,71.27,73.55,1545750
2020-02-06,73.13,74.93,73.07,74.17,2137020
2020-02-07,74.31,76.24,74.24,76.03,1523380
2020-02-10,75.2,75.48,74.03,75.2,910510
2020-02-11,75.2,75.2,73.82,73.96,885960
2020-02-12,74.51,74.51,73.96,73.96,838170
2020-02-13,73.96,74.17,73.55,73.76,713560
2020-02-14,73.96,74.1,73.55,73.55,708080
2020-02-17,73.69,74.24,73.69,74.17,623350
2020-02-18,74.38,74.38,72.65,72.79,1078500
2020-02-19,72.44,73.62,72.44,73.41,747510
2020-02-20,73.82,74.17,73.34,73.41,624620
2020-02-21,74.17,75.48,74.17,74.86,1484500
2020-02-24,73.82,74.38,73.13,73.41,954600
2020-02-25,73.34,74.86,73.13,74.51,1200220
2020-02-26,73.62,73.62,72.44,72.44,1346630
2020-02-27,72.44,74.1,71.62,74.1,863890
2020-02-28,72.65,73.2,71.06,72.1,1437350
2020-03-02,72.1,72.79,71.62,72.1,909240
2020-03-03,72.79,73.27,72.17,72.65,741380
2020-03-04,72.65,73.13,72.1,72.31,612800
