,VCB_open,VCB_high,VCB_low,VCB_close,VCB_volume,VCB_return,VCB_ma5,VCB_ma10,VCB_std_dev,VCB_ema10,Dollar_Index_Open,Dollar_Index_High,Dollar_Index_Low,Dollar_Index_Close,Dollar_Index_Adj Close,Dollar_Index_return,Dollar_Index_ma5,Dollar_Index_ma10,Dollar_Index_std_dev,Dollar_Index_ema10,Dow_Jones_Open,Dow_Jones_High,Dow_Jones_Low,Dow_Jones_Close,Dow_Jones_Adj Close,Dow_Jones_return,Dow_Jones_ma5,Dow_Jones_ma10,Dow_Jones_std_dev,Dow_Jones_ema10,Nasdaq_Open,Nasdaq_High,Nasdaq_Low,Nasdaq_Close,Nasdaq_Adj Close,Nasdaq_return,Nasdaq_ma5,Nasdaq_ma10,Nasdaq_std_dev,Nasdaq_ema10,US_30_Open,US_30_High,US_30_Low,US_30_Close,US_30_Adj Close,US_30_return,US_30_ma5,US_30_ma10,US_30_std_dev,US_30_ema10,US_500_Open,US_500_High,US_500_Low,US_500_Close,US_500_Adj Close,US_500_return,US_500_ma5,US_500_ma10,US_500_std_dev,US_500_ema10,sentiment_score
2020-01-02,58.65,59.43,58.32,59.04,386290,0.0,1.1089205117592296e-15,0.0,0.0,-0.8075075930042439,96.4800033569336,96.87000274658205,96.43000030517578,96.8499984741211,96.8499984741211,0.0,-2.429441481006133e-15,-4.877060186325005e-15,3.384024573711474e-16,-0.4384422703253313,28638.970703125,28872.80078125,28627.76953125,28868.80078125,28868.80078125,-3.976192315633242e-18,0.0,9.560381266586812e-16,-2.138284176253232e-16,-0.9704020094219333,9039.4599609375,9093.4296875,9010.8896484375,9092.1904296875,9092.1904296875,-6.579059807788677e-18,8.687106424346794e-16,0.0,-2.8046465423284246e-16,-1.7411287621565716,28553.0,28871.0,28538.0,28841.0,28841.0,0.0,9.362905651706018e-16,0.0,0.0,-0.9667142828525617,3237.0,3261.75,3234.25,3259.0,3259.0,-7.848236893406506e-18,7.616763584775687e-16,-1.537808335966934e-15,-2.359019086984276e-16,-1.3595811286000736,0.9091514970059881
2020-01-03,59.49,59.69,58.45,58.45,536130,-0.6140856449250917,1.1089205117592296e-15,0.0,0.0,-0.8159401958318954,96.79000091552734,97.11000061035156,96.70999908447266,96.83999633789062,96.83999633789062,-0.04092683203745166,-2.429441481006133e-15,-4.877060186325005e-15,3.384024573711474e-16,-0.43875481788348547,28553.330078125,28716.310546875,28500.359375,28634.880859375,28634.880859375,-0.6195678053178287,0.0,9.560381266586812e-16,-2.138284176253232e-16,-0.9815767149991742,8976.4296875,9065.759765625,8976.4296875,9020.76953125,9020.76953125,-0.5183483770921302,8.687106424346794e-16,0.0,-2.8046465423284246e-16,-1.7473351844809855,28844.0,28893.0,28431.0,28602.0,28602.0,-0.6416823093049617,9.362905651706018e-16,0.0,0.0,-0.9779851776588331,3261.0,3263.5,3206.75,3235.5,3235.5,-0.5600636135093677,7.616763584775687e-16,-1.537808335966934e-15,-2.359019086984276e-16,-1.3667671438047482,0.9091514970059881
2020-01-06,58.0,58.19,56.89,56.89,880110,-1.588448410496252,1.1089205117592296e-15,0.0,0.0,-0.8451359717236232,96.9000015258789,96.9000015258789,96.54000091552734,96.66999816894533,96.66999816894533,-0.40877117764158866,-2.429441481006133e-15,-4.877060186325005e-15,3.384024573711474e-16,-0.44432265508179897,28465.5,28708.01953125,28418.630859375,28703.380859375,28703.380859375,0.15022103048858002,0.0,9.560381266586812e-16,-2.138284176253232e-16,-0.9874473081674012,8943.5,9072.41015625,8943.5,9071.4697265625,9071.4697265625,0.2993646404272061,8.687106424346794e-16,0.0,-2.8046465423284246e-16,-1.7480073575659796,28494.0,28700.0,28351.0,28642.0,28642.0,0.07830665180518874,9.362905651706018e-16,0.0,0.0,-0.9853204766369728,3220.25,3249.5,3208.75,3243.5,3243.5,0.14088856854665743,7.616763584775687e-16,-1.537808335966934e-15,-2.359019086984276e-16,-1.3702003077419902,0.9091514970059881
2020-01-07,56.57,57.15,55.53,57.09,1013270,0.1742620925206577,1.1089205117592296e-15,0.0,0.0,-0.8661649152928439,96.6500015258789,97.08999633789062,96.62000274658205,96.9800033569336,96.9800033569336,0.6960431690582689,-2.429441481006133e-15,-4.877060186325005e-15,3.384024573711474e-16,-0.43919109117281335,28639.1796875,28685.5,28565.279296875,28583.6796875,28583.6796875,-0.3311216200658898,0.0,9.560381266586812e-16,-2.138284176253232e-16,-0.9979688253068514,9076.6396484375,9091.9296875,9042.5498046875,9068.580078125,9068.580078125,-0.06101609179257715,8.687106424346794e-16,0.0,-2.8046465423284246e-16,-1.7488084256373255,28636.0,28739.0,28446.0,28526.0,28526.0,-0.32672497765071673,9.362905651706018e-16,0.0,0.0,-0.9967924773500881,3243.5,3254.5,3226.0,3235.25,3235.25,-0.22221425275080467,7.616763584775687e-16,-1.537808335966934e-15,-2.359019086984276e-16,-1.375532010072942,0.9091514970059881
2020-01-08,56.5,57.15,56.05,56.57,722280,-0.5624503582555864,-0.9221167426382931,0.0,0.0,-0.8908025391028168,96.83000183105467,97.33000183105467,96.81999969482422,97.3000030517578,97.3000030517578,0.7167057702965915,-0.4274722728151387,-4.877060186325005e-15,3.384024573711474e-16,-0.42499316265818166,28556.140625,28866.1796875,28522.509765625,28745.08984375,28745.08984375,0.38894955201159753,-1.014571091592718,9.560381266586812e-16,-2.138284176253232e-16,-0.9988665340304635,9068.0302734375,9168.8896484375,9059.3798828125,9129.240234375,9129.240234375,0.36421224581058,-1.7618349352926603,0.0,-2.8046465423284246e-16,-1.744192523041808,28502.0,28833.0,28084.0,28770.0,28770.0,0.6102035749632259,-1.0113787315941603,0.0,0.0,-0.9946719721670837,3231.75,3267.75,3181.0,3260.25,3260.25,0.5212694644682144,-1.387253522340904,-1.537808335966934e-15,-2.359019086984276e-16,-1.3722496149538352,0.9091514970059881
2020-01-09,57.02,57.8,57.02,57.67,722670,1.103871489173055,-0.9434978788409589,0.0,0.0,-0.8952387930652799,97.2699966430664,97.55999755859376,97.25,97.4499969482422,97.4499969482422,0.3252824284030095,-0.4069575154584147,-4.877060186325005e-15,3.384024573711474e-16,-0.4086896543390534,28851.970703125,28988.009765625,28844.310546875,28956.900390625,28956.900390625,0.5152286274233896,-1.009978316219569,9.560381266586812e-16,-2.138284176253232e-16,-0.9894825154194962,9202.26953125,9215.9501953125,9158.5,9203.4296875,9203.4296875,0.45144304815838726,-1.7512098346813127,0.0,-2.8046465423284246e-16,-1.7339688678204532,28772.0,28953.0,28745.0,28929.0,28929.0,0.3851811323452598,-1.0068490971952797,0.0,0.0,-0.9854388030287006,3261.25,3276.75,3257.75,3276.0,3276.0,0.3116027935783512,-1.3815587126542161,-1.537808335966934e-15,-2.359019086984276e-16,-1.364747859820758,0.9091514970059881
2020-01-10,57.67,58.78,57.15,58.19,1526920,0.49530575642434155,-0.9475556127188376,0.0,0.0,-0.8914363308721389,97.43000030517578,97.58000183105467,97.3000030517578,97.36000061035156,97.36000061035156,-0.2235462562873875,-0.38917786778577257,-4.877060186325005e-15,3.384024573711474e-16,-0.3981626330713321,28977.51953125,29009.0703125,28789.099609375,28823.76953125,28823.76953125,-0.36246099855019787,-1.0001312437227814,9.560381266586812e-16,-2.138284176253232e-16,-0.9881645428758807,9232.9501953125,9235.2001953125,9164.66015625,9178.8603515625,9178.8603515625,-0.2036799638986985,-1.736109672161511,0.0,-2.8046465423284246e-16,-1.7277391158056057,28930.0,29022.0,28751.0,28777.0,28777.0,-0.4162464915330015,-0.9978413015156868,0.0,0.0,-0.9850524923780423,3275.5,3287.0,3260.75,3264.75,3264.75,-0.2866763142773079,-1.3717602901050627,-1.537808335966934e-15,-2.359019086984276e-16,-1.3620501738282336,0.9091514970059881
2020-01-13,57.87,58.39,57.87,58.13,1044640,-0.09107273725283818,-0.92820334345511,0.0,0.0,-0.8891827782713176,97.3499984741211,97.52999877929688,97.30999755859376,97.3499984741211,97.3499984741211,-0.04080638630818863,-0.3659277398856724,-4.877060186325005e-15,3.384024573711474e-16,-0.38986216322862194,28869.009765625,28909.91015625,28819.4296875,28907.05078125,28907.05078125,0.18668501459986936,-0.9895136007153427,9.560381266586812e-16,-2.138284176253232e-16,-0.9831077314589945,9213.7197265625,9274.490234375,9193.0595703125,9273.9296875,9273.9296875,0.5868133881542744,-1.7167715581086784,0.0,-2.8046465423284246e-16,-1.7143805922294089,28775.0,28907.0,28775.0,28871.0,28871.0,0.21716993853109112,-0.9860539574549627,0.0,0.0,-0.9803035157940758,3265.75,3291.0,3265.5,3289.75,3289.75,0.5162151055516537,-1.3562670578692217,-1.537808335966934e-15,-2.359019086984276e-16,-1.3521982791717382,0.9091514970059881
2020-01-14,58.19,58.52,57.93,58.13,1001130,-0.03089933757249275,-0.911972407943598,0.0,0.0,-0.8873389625070092,97.36000061035156,97.55999755859376,97.33000183105467,97.37000274658205,97.37000274658205,0.02781666575078522,-0.3525931345608373,-4.877060186325005e-15,3.384024573711474e-16,-0.3824457746046448,28895.5,29054.16015625,28872.26953125,28939.669921875,28939.669921875,0.05752608268578539,-0.9709552530323291,9.560381266586812e-16,-2.138284176253232e-16,-0.9774120750192588,9270.6103515625,9298.330078125,9226.490234375,9251.330078125,9251.330078125,-0.18956019540704155,-1.6993160556636988,0.0,-2.8046465423284246e-16,-1.705414780168328,28874.0,29015.0,28737.0,28934.0,28934.0,0.136559310263954,-0.9650529252419685,0.0,0.0,-0.973447000490593,3289.25,3296.75,3275.25,3288.0,3288.0,-0.07660062727538748,-1.3385963984002351,-1.537808335966934e-15,-2.359019086984276e-16,-1.344672766880988,0.9091514970059881
2020-01-15,58.26,58.26,57.74,58.06,1471860,-0.10117409785633273,-0.8887184714896037,-0.910329680842373,-0.7718823609157921,-0.8868308642741608,97.37999725341795,97.44000244140624,97.16000366210938,97.2300033569336,97.2300033569336,-0.3380499042234027,-0.3549865185714669,-0.3914773820477413,-0.7749945445832981,-0.38075253247432905,28901.80078125,29127.58984375,28897.349609375,29030.220703125,29030.220703125,0.204260953529765,-0.9560909193723682,-0.9917222678017806,-0.9579516003294704,-0.9684262458197955,9253.759765625,9298.8203125,9231.1396484375,9258.7001953125,9258.7001953125,0.006655328254364569,-1.686950591014333,-1.7423796359107522,-1.2522865066319302,-1.6974386581177117,28934.0,29090.0,28838.0,29029.0,29029.0,0.2184215658016063,-0.9517213876361713,-0.9877707715016152,-0.9387071213003954,-0.9633570615440938,3287.75,3299.0,3277.75,3293.75,3293.75,0.08849568611531325,-1.3273742734294098,-1.3685724981655145,-1.073272116824901,-1.3367572492361548,0.9091514970059881
